arouse	вызывать, пробуждать	Something aroused their interest.
wardrobe	шкаф, гардероб	Some day I'll pick out my wardrobe.
nun	монахиня	The nun was playing solitaire.
palace	дворец	It's the second most visited palace in India.
sprinkle	побрызгать, посыпать	I sprinkle coffee cake with brown sugar.
terminate	прекратить, завершить (офиц.)	Some contracts were terminated this year.
swamp	болото, топь	Keep away from this swamp!
lapse	промежуток времени	Two months is a considerable lapse of time.
anew	заново	After the quake, the city was built anew from scratch.
entice	соблазнять	They were easy to entice by false promises.
dock	причал, док	Go to the dock and find my boat.
limp	хромать	Zach limps a bit. He is already 14 years old.
placid	тихий, спокойный	We were fortunate, the lake was placid.
baptize	крестить	I'm baptized but not much of a believer.
brawl	шумная драка, скандал	His funeral ended in a total boozy brawl.
disdain	пренебрегать, презирать	Louis disdains women and entertainment.
shiver	дрожь, дрожать	I'm shivering with cold. May I get in?
nipple	сосок	Steve, quit staring at my nipples.
lump	кусок, глыба, ком	I left the bag at the lump of sandstone.
daunt	пугать, обескураживать	The prospect daunts me, I do not deny it.
swarm	рой, роиться, толпиться	A flock of black birds swarmed over the boat.
throw up	блевануть	I always throw up after drinking alcohol.
warden	смотритель, надзиратель	The warden must not see us.
renew	возобновлять	Finally, they are renewing the pipelines.
put out	обременять, стеснять	I hope I'm not putting you out, bro?
hydrogen	водород	The hydrogen atom consists of a proton and an electron.
grim	мрачный, зловещий	One cannot escape the Grim Reaper.
deem	считать (чем-либо)	I deem it particularly inexcusable.
consequent	последующий, вытекающий	Each consequent value is a sum of two previous.
dodge	уворачиваться, уклоняться, уловка	I am not Neo	I can't dodge bullets.
nourish	питать, кормить, удобрять	These treatments will moisturize, nourish your skin.
throw up	блевануть	I always throw up after drinking alcohol.
warden	смотритель, надзиратель	The warden must not see us.
renew	возобновлять	Finally, they are renewing the pipelines.
put out	обременять, стеснять	I hope I'm not putting you out, bro?
hydrogen	водород	The hydrogen atom consists of a proton and an electron.
grim	мрачный, зловещий	One cannot escape the Grim Reaper.
deem	считать (чем-либо)	I deem it particularly inexcusable.
consequent	последующий, вытекающий	Each consequent value is a sum of two previous.
dodge	уворачиваться, уклоняться, уловка	I am not Neo	I can't dodge bullets.
nourish	питать, кормить, удобрять	These treatments will moisturize, nourish your skin.
outlaw	преступник (особ. на свободе)	Tannen, an outlaw, a robber, a highwayman.
obese	страдающий ожирением	Many obese people suffer from depression.
stature	рост	Bob has problems caused by his stature.
fragile	хрупкий	Fresh-water ice is fragile but hard.
oral	устный, ротовой	Ariane gave a comprehensive oral report.
wizard	волшебник	You must have heard of this prominent wizard.
revolt	восстание, бунт	It took the allies two years to put down the revolt.
compact	договор	The strategic compact was signed by all countries.
barefoot	босиком	I prefer walking barefoot in summer.
bog	болото, трясина	The bog smelled like wet moss.
waiter	официант	He's the same waiter from last time.
nanny	няня	No, our nanny is not Swedish.
multitude	множество	It's hard to pick out one among the multitude.
flock	стадо, стая	The flock of starlings attacked the farm.
rein	сдерживать, держать в узде	Joaquin didn't know how to rein the horse properly.
shrimp	креветка	The shrimps are too spicy, we need more beer.
confide	доверить, вверить	It was my mistake to confide in her.
hollow	полый	I heard a growl from this hollow log.
livelihood	средства к существованию	He earns his livelihood playing violin near the Louvre.
cabbage	капуста	I heard you had cabbage for sale?
hoop	обруч, обод	Only a hoop left from the basket.
swallow	проглатывать, глоток	It swallowed your mouse.
elude	ускользнуть, увернуться	To my surprise, the rabbit eluded his grasp.
lumber	пиломатериалы	Grab some lumber and get started.
specimen	образец, экземпляр	The specimens are stored in this box.
veer	резко свернуть	I just practiced veering.
knit	вязать	Your all wear knitted garments, don't you?
at the moment	сейчас	Sorry, I'm a bit busy at the moment.
doom	гибель, рок, обречённость и т. д.	The sketch is called 'A Doomed Mission'.
peek	вгзлянуть, подсмотреть	All right, I promise I won't peek.
embassy	посольство	Looks like an embassy. Whose flag is it?
luggage	багаж	I had to pay a big charge for the excess luggage.
encompass	охватывать, заключать	The process encompasses almost all countries.
strew (strewn, strewn)	разбрасывать	The beach was strewn with all sorts of litter.
applause	аплодисменты	This story was met with applause.
ferocious	свирепый	He is a ferocious but nice tiger.
hideous	отвратительный, ужасный	That guy looked worse than that hideous monster.
rogue	жулик, проходимец	Is your point that I'm a rogue?
lane	полоса дороги	Cars can't drive on the bus lane.
tell from	отличить	Can you tell Jack Daniels from Lagavulin 16?
remainder	оставшаяся часть	They drove the remainder of the way in silence.
wretched	жалкий, несчастный	Sméagol becomes hideous wretched Gollum.
twilight	сумерки	Childe Hassam, 'Boston Common at Twilight', 1886.
vein	вена	Come closer — do you see the vein?
hood	капюшон	My hood was on, but he recognized me from afar.
buckle up	пристегнуться	Ever since then, I buckle up.
accessory	принадлежность, аксессуар	Camera with all accessories, excellent condition.
maternal	материнский	Maternal morbidity and mortality were reduced to a minimum.
clog	загромождать	The canal was clogged with weeds.
strand	прядь, нить (об. скрученная)	DNA strand is transcribed for individual genes.
blouse	блузка	Hey, nice blouse!
earthquake (quake)	землетрясение	The earthquake is growing more intense.
turn into	превращать (ся)	It's time to turn into a wolf.
jumper	джемпер	Look at the jumper, hardly worn.
shove	резко толкнуть, пихнуть	No, I'll just shove you off into the water.
catch up with	догнать	You go ahead	I'll catch up with you later.
get at	клонить, намекать	Do you understand what I am getting at?
ambulance	скорая помощь	The ambulance is slow in coming.
kindergarten	детский сад	I was never late for kindergarten again.
hue	цвет, оттенок	I believe the appropriate hue is avocado.
enlighten	просветить	Well, then, let me enlighten you.
glasses	очки	I think she wears glasses just to look smarter.
saturated	насыщенный	The colors look too saturated, don't they?
cork	пробка	Jerry saves all the corks.
recur	повторяться, возвращаться	This pattern recurs over and over again.
alienate	отчуждать, отдалять, отвергать	I felt lost and alienated in this school.
twitch	дёргаться	You make my eye twitch.
celestial	астрономический, небесный	There are 14 types of celestial objects.
timely	своевременный	His arrival was timely. He was professional.
posture	поза	George froze in an awkward posture.
hopeful	внушающий надежды	It was a hopeful sign, I thought.
procure	достать, добыть, обеспечить	It's the only place to procure fresh fruits around here.
go for	выбирать, предпочитать	Most girls go for tall guys.
contaminate	загрязнять	This shit contaminates the river.
sprawl	растягиваться, расползаться	Goddamn Moscow keeps sprawling.
wiggle	шевелить	I wiggled my toes and fingers.
orphan	сирота	No, he doesn't look like an orphan.
meadow	луг	I found myself in a wonderful meadow.
regain	восстановить, вернуть себе	Napoleon regained power in March 1815.
career	карьера	How is your family? How is your career?
rotten	гнилой	Throw a rotten apple at him.
voyage	путешествие, рейс	Every voyage has its own flavour.
policy	политика, курс	I approve of your policy, mr. President.
dice (pl: dice)	кубик (игральный)	Come on, roll the dice.
block up	забиться (о канале)	The pipes must be blocked up :(
refresh	обновлять, освежить	Is it a fine color to refresh the wall?
pick out	выбрать или выделить из	I'd pick out the black one.
brink	грань, край	We have been on the brink of death many times.
deficient	недостаточный, неполный	The soil is deficient in iron, the leaves go yellow.
tutor	репетитор, преподаватель	Our Peter is the best tutor ever.
align	выравнивать, выстраивать	The ships aligned in 7 rows.
mourn	скорбеть, носить траур	It's their mourning custom.
carriage	каретка	The Queen rides in a very good carriage.
bulb	лампа, колба	Can you put the bulb into your mouth?
pull off	справиться, вытянуть	I think I pulled that off pretty damn well.
asylum	убежище	The popes found asylum within its walls.
deity	божество	Ganesha is a deity that is worshipped by traders.
greenhouse	теплица, оранжерея	Is it the greenhouse garden?
inhale	вдыхать	Inhale as much air as you can.
exhale	выдыхать	He exhaled, vapor puffing from his mouth and nostrils.
groom	жених	How old is her groom?
set down	написать, установить	Set down your plan for the year ahead.
den	логово, берлога	My dog accidentally found a bear's den.
turmoil	смятение, беспорядок	This nation is in permanent turmoil.
thwart	помешать, сорвать	The bridge was bombed out, the attack was thwarted.
concede	уступить	Sarkozy conceded the election to Hollande.
run counter	противоречить	But it runs counter to your earlier statements!
rugged	неровный, грубый	Theo walked up a rugged, steep path.
fury	ярость, бешенство	Beware its fury.
stew	тушить, рагу	Stewed meat with leeks, lentils, carrots and spices.
chess	шахматы	Two middle-aged men played chess.
stump	пень	15 steps northward from the old stump.
vase	ваза	The flash drive is in my black African vase.
traitor	изменник	A traitor informed the Persians of a secret path.
desktop	настольный	I can't decide whether I need a desktop PC or a tablet.
ID	удостоверение личности	Let me see your ID.
hurdle	препятствие	They went over the last hurdle simultaneously.
grove	лесок	Mikhail Clodt (1832–1902). Oak Grove
allegiance	верность	I pledge allegiance to the Flag of the United States…
overlap	перекрываться	It consists of three overlapping rhombuses.
summon	вызывать	Do you know how to summon an ambulance?
awkward	неуклюжий	This bird looks awkward, but it isn't.
felon	преступник, уголовник	All of his family are felons.
ship	доставлять	That is why we choose to ship them by air.
wash up	помыть посуду	Whose turn is it to wash up?
revolve	вращаться	The central entrance, with a revolving door.
mix up	перепутать	Don't mix up the gifts.
token	знак, признак, маркер	As a token of appreciation, he was given a plaque.
midst	середина, среда	J. was found in a temple in the midst of teachers.
childhood	детство	Tell me, what was your childhood like?
extort	вымогать	We rob, extort money, kidnap.
proficient	опытный, умелый	A little practice, and you'll become quite proficient.
burn down	сгореть, сжечь (полностью)	The house was burned down for a scene in the movie.
villain	негодяй	I'd like to play a supervillain.
oriental	восточный, азиатский	Seaweeds are mainly eaten in Oriental countries.
cargo	груз, грузовой	We don't carry any precious cargo.
lament	оплакивать, сожалеть	Everybody lamented his untimely death.
gloss	глянец, лоск	Well, I wore the totally wrong gloss.
soothe	успокаивать	This ointment also soothes the itch.
trash	мусор	We need more trash bags.
solemn	торжественный, серьёзный	I fail to be serious on solemn occasions.
sanctuary	убежище или заповедник	It's the biggest giraffe sanctuary in Kenya.
paddle	грести, весло	The next moment the paddle fell from her hands.
branch	филиал, ответвление	Today, the company has seven branches.
anytime	в любой момент	It can erupt anytime without warning.
ambush	засада	He foresaw the ambush and got ready.
ominous	зловещий	Norah heard ominous footsteps behind her.
pay back	вернуть деньги	I expect you to pay it back as soon as you can.
smother	задушить	He smothered McMurphy with a pillow and broke out.
clever	умный	Owls were always considered clever creatures.
silly	глупый	She is silly but funny.
come along	продвигаться (о работе)	How is the building coming along?
ant	муравей	Every ant in this colony is so precious to me.
yearn	тосковать, жаждать	She yearned for me but not for long.
ignite	воспламеняться	How could I expect it to ignite?
intercourse	отношения или пол. сношение	You know, I talk during intercourse too.
atrocity	зверство, злодеяние	We are ready for new atrocities.
fasten	закрепить	Fasten the seat belts, please.
stale	несвежий	They make croutons of stale bread.
glacier	ледник	Visit the glaciers of Patagonia before they've melted.
friction	трение	List some ways to reduce friction.
animate	живой, одушевлённый, оживлять	Both animate and inanimate objects have souls.
lyrics	текст песни	The lyrics are written under the notes.
usage	применение	It's cheap and simple in usage.
come by	найти, заполучить	This is how Aladdin came by the magic lamp.
wink	подмигивать	They wink at me for no reason. I can wink too.
hail	приветствовать	Let's hail him as he deserves.
pledge	обещание, обязательство	Your New Year's pledges are unrealistic.
surplus	избыток, излишек (экон.)	A surplus of tomatoes is the result.
antique	старинный	I have an antique coffee grinder.
ripple	рябь или пульсация	Human happiness is a ripple in the river of time.
bewilder	смущать, сбивать с толку	He is bewildered, not knowing what to do next.
piss off	бесить	Man, you are pissing me off!
consecutive	последующий по времени	For six consecutive years things got worse.
rag	тряпка	I'm a rag next to them.
cruel	жестокий	Cruel crimes are committed every day.
growl	рычать	He growled and looked at me suspiciously.
tread	ступать, шагать	Tread with caution so as not to creak.
trout	форель	Let's cook this trout for dinner.
rust	ржавчина	It's completely covered with rust.
utter	издать, произнести	I just could not utter a word.
exquisite	утончённый, изысканный	The exquisite service is reflected in every small detail.
wicked	злобный, безнравственный	Her wicked sister doesn't know anything yet.
settle in	освоиться	He quickly settled in and now feels himself at home.
violin	скрипка	This violin has a powerful and clear sound.
minor	несовершеннолетний	Minors find a way to get a hold of alcohol.
deception	обман	This makes an irritating optical deception.
hay	сено	He had a Kalashnikov rifle under the hay.
runaway	беглый, беглец	All runaway slaves must be returned to their owners.
slut	шлюха	How dare you! She is not a slut!
maid	служанка, горничная	She worked as a maid for a rich family.
hitch	заминка, помеха	Don't worry, it's okay. Just a little hitch.
adamant	непреклонный	However, we were adamant in our position.
sinister	зловещий	It's a really sinister place.
ostensibly	по видимости, якобы	Bin Laden was ostensibly killed in 2011.
seasoning	приправа	At the worst, put some Maggi seasoning in it.
vigor	сила, энергия, здоровье	That's the source of my vigor for the day.
hand down	передать (по наследству)	My father handed down his craft to me.
mimic	передразнивать, копировать	She mimicked the cow, and the cow mooed.
live up to	соответствовать, дотягивать	No one of them lives up to my standards.
maid	служанка, горничная	She worked as a maid for a rich family.
hitch	заминка, помеха	Don't worry, it's okay. Just a little hitch.
adamant	непреклонный	However, we were adamant in our position.
sinister	зловещий	It's a really sinister place.
ostensibly	по видимости, якобы	Bin Laden was ostensibly killed in 2011.
seasoning	приправа	At the worst, put some Maggi seasoning in it.
vigor	сила, энергия, здоровье	That's the source of my vigor for the day.
hand down	передать (по наследству)	My father handed down his craft to me.
mimic	передразнивать, копировать	She mimicked the cow, and the cow mooed.
live up to	соответствовать, дотягивать	No one of them lives up to my standards.
fleet	флот	The British fleet entered Habana on August 21.
ascertain	выяснить, установить	It took 4 days to ascertain the source of the poisoning.
tinker with	возиться, пытаться сделать	Chuck was tinkering with his motherboard.
block out	блокировать, не пускать	Use fences to block out the zombies.
violet	фиолетовый	All of a sudden, everything turned violet.
brim	край сосуда	I filled it to the brim...don't spill.
premise	предпосылка	I drove the conclusion from the wrong premise.
marvel	диво, удивляться	Look at this marvel of technology.
poise	равновесие, самообладание	Don't lose your poise. Stay focused.
amenity	удобство, обустройство	The pool amenities are impressive as well.
mediate	посредничать	Russia mediated in the negotiations.
moan	стонать	She moaned and arched herself up.
mustard	горчица	Beer, sausage, and mustard are my main food.
humble	скромный, смиренный	I am just a humble dog.
remorse	раскаяние	Robin felt remorse, and yet...
marital	супружеский	They have strange marital laws.
garnish	гарнир, украшение	The garnish is simple but pleasing.
hack	рубить, кромсать	Diego hacked it apart with his machete.
revere	почитать	He is still revered by millions of his fans.
reap	пожинать	As you sow, so shall you reap, says the Bible.
thrive	процветать, преуспевать	China thrives on global trade.
eloquent	красноречивый, выразительный	Mr. Levy was eloquent and poetic.
crude	сырой, грубый, необработанный	We buy the least expensive crude oil.
puppet	кукла, марионетка	There are four styles of Chinese puppet theater.
prejudice	предубеждение, предрассудок	He had some prejudices against Jews.
grumble	ворчать, жаловаться	Old Tomas grumbled at the weather and the prices.
herald	возвестить, вестник	He will herald a new era.
acquit	оправдать (в суде)	Completely unexpectedly, William was acquitted.
tribute	дань	Tribute was paid in both goods and gold.
stick at	упорно продолжать	This game isn't hard to master — if you stick at it.
claw	коготь, клешня	Holy crap! Whose claws are these?
come out	выходить (напр. об альбоме)	The first movie ever made in history came out in 1895.
stance	поза, положение	'Fighting stance', he instructed.
snort	фыркнуть, хмыкнуть	The kangaroo snorted and shook his head.
digest	переваривать	A sound stomach digests any crap.
beckon	манить	'Then follow me,' he said, and beckoned me inside.
surpass	превзойти	It empowered me to surpass my own limitations.
lucrative	прибыльный, выгодный	Bitcoin is not the most lucrative cryptocurrency.
dye	краска, краситель	We use only natural plant dyes for our work.
dial	набирать номер	Dial Mr. Fenstermacher immediately.
deprive	лишать	I felt like a fish deprived of water.
frantic	неистовый, бешеный	The tradition is reflected in this frantic dance.
discrete	отдельный, разрозненный	Light acts as if it consists of discrete particles.
blow up	накачивать, надувать	I like blowing up balloons.
timber	древесина, лесоматериалы	The sanctions on timber were imposed in June.
vow	клятва, торжественное обещание	They exchanged vows and rings.
feminine	женский	You know nothing about feminine beauty.
break up	разорвать отношения	It's time for us to break up. It's not you, it's me.
cough	кашель	Tom coughed to hide a giggle.
chunk	кусок	The otter stole the biggest chunk of meat.
pillar	столб, опора, колонна	He tried to unearth the mystery of the hanging pillar.
cohesion	единство, согласие	This will just reinforce our cohesion.
envision	воображать	This develops your ability to envision things.
cute	привлекательный, милый	Oh, she can be cute, when she wants.
frost	мороз	Frost and sunshine: day of wonder!
cue	сигнал, намёк	She glanced at the clock. His cue to leave.
stove	плита	Get away from the stove, don't bother me.
scrape through	с трудом пройти	Eventually, I scraped through the finals.
verse	стих	Learn this verse. I will check you.
rigorous	строгий, тщательный	They require rigorous control.
footprint	след	This is a brown bear's rear footprint.
squirrel	белка	Squirrels don't need much to make them happy.
hit on	клеить, подкатывать	I only hit on girls who clearly want me to.
portable	портативный, переносной	The portable toilet is over there if you need it.
ripe	созревший	Only one berry was ripe.
wobble	качаться, шататься	My heart skips a beat when it wobbles.
diverge	расходиться	Soon after, our paths diverged.
converge	сходиться, сближаться	Bit by bit, our views begin to converge.
odor (odour)	запах	I like the odor of new books.
sideline	что-то вторичное	He took on teaching music as a sideline.
versatile	универсальный, разносторонний	I lost my versatile Swiss knife.
amateur	любитель, любительский	I'm an amateur but gifted footballer.
rut	борозда, колея, рутина	I'm in a rut, and I need a change.
hinge	петля, шарнир	The hinge squeaked again, even more loudly.
die out	вымереть	Around 95% of all living species died out.
grudge	обида, злоба	She has a grudge against me personally.
acclaim	приветствовать, аплодировать	The crowd acclaimed the new king.
shaft	вал, ось, стержень	Unscrew the gear from the shaft.
inland	внутренний, вглубь страны	Our house is less than a mile inland.
flood in	наплыть, валить потоком	Immigrants are flooding in like hell.
garment	предмет одежды	Take with you no more than ten garments.
shudder	содрогаться, дрожь	What I saw made me shudder.
slender	тонкий, стройный, изящный	It's a lush forest of tall, slender bamboo stalks.
ink	чернила	I buy the inks on Amazon.
rainbow	радуга	Not just a rainbow, it's a double rainbow!
bachelor	холостяк	No wonder you're still a bachelor.
reciprocal	взаимный, ответный	This must be a mutual and reciprocal process.
clamour	шум, ропот, протесты	A clamor raised against the building of the pipeline.
pristine	нетронутый, первозданный	The only footprints on this pristine beach were ours.
fall through	провалиться	Sometimes people fall through the ceiling.
bunny	кролик (разг, детск.)	Cats eat mice bunnies eat carrots.
remnant	остаток	The remnants of that ancient people still live here.
dissipate	рассеивать	The contrail was dissipating rather fast.
flick through	просмотреть, пролистать	It'll take years to flick through all the TV channels.
solitude	одиночество	'Solitude' is my favorite painting of Thomas Harrison.
smuggle	провозить тайно	Old Taras is a cigarette smuggler.
gorgeous	шикарный	A gorgeous alligator crossed our way.
misery	несчастье, страдание	Such a thing will bring you only misery.
intercept	перехватить, перехватить	The Su-27 is going to intercept the B-52H.
motto	девиз	They have a very pompous motto.
dispel	развеяться, исчезнуть	Let me dispel these groundless rumors.
petal	лепесток	Rose petals were scattered all around.
terminal	конечный, заключительный	It was the terminal bus stop.
trench	траншея	I dug it up while digging a trench.
hefty	большой и тяжёлый	The dervish disappeared behind the hefty door.
mosque	мечеть	We are looking for the bazaar, not the mosque.
abduct	похищать	The cow was abducted by aliens.
appliance	прибор, приспособление	The printer is his favorite appliance.
avid	заядлый, рьяный, алчный	My father is an avid treasure hunter.
clutter	беспорядок, куча всего	Sometimes creative clutter becomes absolute chaos.
dispel	развеяться, исчезнуть	Let me dispel these groundless rumors.
petal	лепесток	Rose petals were scattered all around.
terminal	конечный, заключительный	It was the terminal bus stop.
trench	траншея	I dug it up while digging a trench.
hefty	большой и тяжёлый	The dervish disappeared behind the hefty door.
mosque	мечеть	We are looking for the bazaar, not the mosque.
abduct	похищать	The cow was abducted by aliens.
appliance	прибор, приспособление	The printer is his favorite appliance.
avid	заядлый, рьяный, алчный	My father is an avid treasure hunter.
clutter	беспорядок, куча всего	Sometimes creative clutter becomes absolute chaos.
underneath	под	His car was just underneath me.
parcel	посылка	Don't open the parcel without me.
fancy	представлять, полагать	I fancied that I heard voices from the corner.
flatter	льстить	Do not trust flatterers.
call for	требовать, взывать	We're calling for justice!
nausea	тошнота	I felt nausea and vertigo on my way back.
fuse	плавиться, сливаться	They make wonderful fused glass earrings.
lay down	установить (правило, норму)	The boss laid down a fierce set of rules.
superb	превосходный	Robert is a great friend and a superb athlete.
hiss	шипеть	When I tried to stroke her, she would hiss at me.
come by	зайти	She came by the bank to see me the other day.
cupboard	шкаф, буфет	A huge rat just ran under my cupboard.
run	управлять	He runs Hawkins lab.
congestion	загруженность, запор	They fail to relieve traffic congestion.
grievance	обида	She wouldn't explain her grievance against me.
dream up	придумать (в деталях)	Last night I dreamt up a story about a dragon.
help out	выручить	Help me out of here!
salvation	спасение	Your salvation is in your hands.
peninsula	полуостров	The lighthouse stands on a windy peninsula.
mercury	ртуть	We studied the properties of mercury vapor.
possess	обладать	Angels usually possess wings.
build on	нарастить, развить	Use every chance to build on your skills.
acquaint	знакомить	I can acquaint you with all the circumstances.
ransom	выкуп	Jake actually escaped before the ransom was paid.
retaliate	отплатить, отомстить	If they retaliate, we could have an all-out war.
bracket	скобка	Round brackets or square brackets? Or maybe braces?
melon	дыня	The scent of lemon is invigorating.
groove	канавка, желоб	For this purpose, there is a groove ten inches deep.
opt for	выбирать из вариантов	What kind of coffee do you opt for?
fog	туман	Smog means SMoky fOG.
sheer	отвесный	He fell down from the sheer cliff and survived.
throw away	выбрасывать	That's why his mother threw all those papers away.
mingle	смешиваться	We mingled with the crowd before the police arrived.
fossil	ископаемое	This fossil is 195 million years old.
bypass	обходить, обход	Don't worry, there is a bypass road.
mend	чинить, поправлять	Lindman was mending a net outside his house.
watchful	бдительный	Her watchful dog was ready to interfere.
devise	придумывать, изобретать	Look, I devised a simple layout.
triangle	треугольник	The impossible triangle is real.
durable	прочный, долговечный	That case is durable as shit, nothing's breaking it open.
drastic	радикальный, резкий	Drastic changes are imminent.
faucet	кран	The faucet was running full blast.
look up to	уважать, восхищаться	They were the people we looked up to.
arrogant	высокомерный	She is a brazen, arrogant bitch.
beforehand	заранее	But how could we know it beforehand?
dignity	достоинство	That dog has dignity and a mind of its own.
crave	желать, жаждать, требовать	The otters crave fish.
vivid	яркий	The museum was illuminated by vivid light.
disguise	маскировать, маскировка	This most common disguise is the Ghillie Suit.
theater (theatre)	театр	I have been doing theatre for the past 7 years.
grease	смазка, жир	It tastes fine, but there is too much grease in it.
lag	запаздывание	The sound lags behind the image.
disgrace	бесчестие, позор	This guy is a disgrace to our city.
sludge	осадок, отстой, ил	There are many bacteria in fecal sludge.
audible	слышимый	His voice on the recording is hardly audible.
pouch	сумочка, кошелёк	She thinks you stash drugs in your pouch.
clean up	убрать (мусор)	You should always clean up after yourself.
albeit	хотя	The coffee was hot, albeit weak.
disgust	отвращение	I disgust myself when I do like that.
reach out	потянуться (рукой)	Bob reached out to take the banana I offered.
subway	метро (амер.)	The nearest subway station is 5th Avenue.
tube	метро (в Лондоне)	Fun fact: the London Subway is called the Tube.
uprising (rising)	восстание	It was a convenient moment to stir up an uprising.
break down	ломаться	The cart broke down, but we delivered the cargo.
fairly	довольно, вполне	Ferrets are fairly intelligent predators.
outing	прогулка, пикник и т. д.	So... have fun on your outing.
inhibit	препятствовать, затруднять	The protective covering inhibits corrosion.
blackmail	шантажировать	I must find the man who blackmailed Mrs. Withers.
holler	крикнуть, окликнуть	If I were you, I'd have hollered for help.
crow	ворона	This is my crow, don't scare her.
shabby	облезлый, убогий	We rented a shabby house in the suburbs.
avert	предотвращать, отводить	The lightning rod was invented to avert such disasters.
dormitory	общежитие	My dormitory mate, Joe, came to my rescue.
brass	латунь	Brass is an alloy of copper and zinc.
jelly	желе	And for dessert, we have strawberry jelly.
beak	клюв	They have the most beautiful beaks, though.
waist	талия	I tried wearing a waist training corset.
pave	вымостить	There is an old road paved with cobble stones.
jaw	челюсть	It looks like a reindeer's jaw.
augment	увеличить, нарастить	This is how augmented reality works.
lineage	родословная	He is a man without lineage or heritage.
scrutiny	внимательный осмотр, изучение	I felt uncomfortable under his scrutiny.
wit	ум, остроумие	He was loved for his wit and wisdom.
shave	брить	Wait, don't you see I'm shaving?
lettuce	салат (латук)	Is there anything under the lettuce?
go against	противоречить	It goes against the laws of nature.
wrestle	бороться	He wrestled like he was possessed.
thigh	бедро	I wear them with thigh-high socks and a skirt.
gratitude	благодарность	Cause I don't need your gratitude.
beaver	бобр	Beavers are not as numerous as they used to be.
flake	слоиться, крошиться	Rusty metal is flaking off.
splash	брызги, всплеск	Anyway, I heard a couple of splashes.
toil	тяжело трудиться	I'm not gonna toil for him for the rest of my life.
goat	козел, коза	Now he lives in the country and breeds goats.
perish	погибать	It is dedicated to those who have perished in the sea.
imminent	неизбежный	I'm afraid significant damage is imminent.
purge	чистка, очищать	Thomas is purging a cryogenic hose.
bankrupt	банкрот, неплатежеспособный	I'm bankrupt financially. I'm bankrupt morally.
heed	прислушиваться, учитывать	Uncle John's warning must be heeded.
seal	тюлень	Do seals bite?
barb	шип, зазубрина	It's surrounded by a barbed wire fence.
pant	пыхтеть, задыхаться	The dog panted and smiled.
coconut	кокос	I climbed up a tree and plucked a fresh coconut for you.
cram	втискивать, впихивать	Up to 6 passengers can cram into a cab.
kidnap	похищать	First, they kidnapped a young woman.
ensue	следовать, вытекать	The ensuing fire destroyed two buildings.
enclose	окружать, заключать	We are enclosed by Toronto City Hall.
tangle	запутывать	The wires were tangled up a bit.
ridiculous	смешной, нелепый	I think this pose is a bit ridiculous.
duo	дуэт	Thank you, so glad you liked our duo.
entrepreneur	предприниматель	He is an entrepreneur. He deals in raisins.
waterfall	водопад	The Niagara waterfall is 127 feet high.
taint	загрязнить, испортить	The lake is tainted for years to come.
wash down	запивать	We eat fruits and wash them down with palm wine.
dispatch	отправлять, отправка	Dispatch John to check it out.
sow (sowed, sown)	сеять	You can't reap before you sow.
shovel	лопата или совок	So grab the shovel and start digging.
banish	отгонять	It's a reliable method of banishing devils and demons.
get along	ладить	My pets get along quite well.
depart	отправляться, отходить	We departed at sunset on Monday.
contempt	презрение, презирать	She never concealed her contempt for others.
cold	простуда	The common cold is most contagious for the first 3 days.
fortify	укреплять, поддерживать	The outer wall is fortified with thirteen towers.
override	перекрывать, отменять	A simple majority is required to override the veto.
repay	отплатить	Good will be repaid with good and evil with evil.
incur	навлечь, повлечь	It's risky to incur the wrath of gods.
lunar	лунный	A red lunar eclipse... a sign of the apocalypse.
bloat	раздуваться	You are like a little frog bloated with pride.
scowl	насупиться, рассердиться	He scowled when I refused to get him up.
crunch	хрустеть	The gravel crunched under his sneakers.
thrift	бережливость	Thrift is not my virtue.
ass	жопа	Get your dirty hands off my ass immediately.
outstanding	неоплаченный, нерешённый	How many outstanding bills do you have?
slate	шифер или сланец	A natural slate roof is common in England.
vinegar	уксус	Are you sure it's vinegar?
intersect	пересекаться	It's where the railroads intersect each other.
beware	остерегаться	Beware of coyotes!
discard	отбросить, отказаться	Discard useless information in your life.
expertise	опыт, компетенция	His expertise makes him indispensable.
preoccupy	занимать внимание	They are preoccupied with this strange phenomenon.
warp	деформироваться	The planks are warped and unstable.
soar	парить, взмывать (втч. о ценах)	An eagle soared over the castle.
vengeance	отмщение	The angels of vengeance will pursue the ungodly.
screw	к чёрту	Screw it. I'm tired.
displace	вытеснять, смещать	E-books almost displaced paper books.
reign	царствовать	Queen Victoria reigned for 63 years and 7 months.
rib	ребро	It had a second set of ribs called gastral ribs.
trickle	струйка, капать, сочиться	The trickle becomes a stream and then a flood.
excerpt	выдержка, отрывок	Here is the excerpt I told you about.
savor	вкус, смаковать	Aunt Lisa savored every cherry.
impede	затруднять	Deep snow impedes movement.
canvas	холст	He helped me fix the canvas on the frame.
scurry	бежать, сновать, суетиться	A squirrel scurried across the road.
litter	мусор (на улице)	Last autumn we collected all the litter here.
tranquil	спокойный	Perhaps it's too tranquil and boring to live here.
butcher	мясник	My dad was a butcher, and my granddad too.
mole	родинка	A mole on the left cheek denotes introvert behavior.
decay	распад, упадок, разлагаться	Gradually the city fell into decay.
erode	размывать, выветривать	In the coming years, this path will be eroded completely.
outskirts	окраина, окрестности	He is hiding somewhere in the outskirts.
briefcase	портфель	Half an hour ago, I put it in my briefcase.
